Set	Name	Size	Length	Annotation
groupII	mmarc_Aminoglycosides90	2	808	Aminoglycosides	Aminoglycoside-resistant 16S-23S rRNA O-methyltransferases	TLYA
groupII	mmarc_Aminoglycosides91	2	633	Aminoglycosides	Aminoglycoside-resistance regulator mutation	MEXZ
groupII	mmarc_Aminoglycosides92	2	376	Aminoglycosides	Aminoglycoside-resistant 30S ribosomal subunit protein S12	RPSL
groupII	mmarc_betalactams119	2	1332	betalactams	Mutant porin proteins	OPRD
groupII	mmarc_Cationic_antimicrobial_peptides12	2	672	Cationic antimicrobial peptides	Polymyxin-resistant phoP	PHOP
groupII	mmarc_Elfamycins10	3	1241	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins11	2	1201	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins12	3	1237	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins13	6	1189	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins14	2	1189	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins15	2	1194	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins16	3	1192	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins6	2	1192	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins7	2	706	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins8	5	1196	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Elfamycins9	9	1238	Elfamycins	EF-Tu inhibition	TUFAB
groupII	mmarc_Fluoroquinolones32	2	2469	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones33	2	2629	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones34	2	1953	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRB
groupII	mmarc_Fluoroquinolones35	5	2220	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones36	2	2416	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRB
groupII	mmarc_Fluoroquinolones37	2	2592	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones38	2	3751	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones39	2	2260	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones40	2	1890	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARE
groupII	mmarc_Fluoroquinolones41	2	2416	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRB
groupII	mmarc_Fluoroquinolones42	12	2715	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones43	2	2256	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones44	2	2751	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones45	2	1894	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARE
groupII	mmarc_Fluoroquinolones46	3	2518	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones47	6	2271	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones48	2	2788	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones49	3	2482	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones50	2	2416	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRB
groupII	mmarc_Fluoroquinolones51	2	2772	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones52	2	2095	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRB
groupII	mmarc_Fluoroquinolones53	2	2265	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones54	5	2715	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones55	7	2637	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones56	2	2466	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Fluoroquinolones57	8	2404	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	PARC
groupII	mmarc_Fluoroquinolones58	2	2592	Fluoroquinolones	Fluoroquinolone-resistant DNA topoisomerases	GYRA
groupII	mmarc_Lipopeptides10	2	3625	Lipopeptides	Daptomycin-resistant beta-subunit of RNA polymerase RpoC	RPOC
groupII	mmarc_Lipopeptides11	2	2571	Lipopeptides	Daptomycin-resistant mprF	MPRF
groupII	mmarc_Lipopeptides3	2	733	Lipopeptides	Daptomycin-resistant liaFSR	LIAFSR
groupII	mmarc_Lipopeptides4	2	2524	Lipopeptides	Daptomycin-resistant mprF	MPRF
groupII	mmarc_Lipopeptides5	2	580	Lipopeptides	Daptomycin-resistant pgsA	PGSA
groupII	mmarc_Lipopeptides6	2	1069	Lipopeptides	Daptomycin-resistant liaFSR	LIAFSR
groupII	mmarc_Lipopeptides7	2	634	Lipopeptides	Daptomycin-resistant liaFSR	LIAFSR
groupII	mmarc_Lipopeptides8	2	1486	Lipopeptides	Daptomycin-resistant cls	CLS
groupII	mmarc_Lipopeptides9	2	1483	Lipopeptides	Daptomycin-resistant cls	CLS
groupII	mmarc_MLS57	2	568	MLS	Lincomycin-resistant lmrA	LMRA
groupII	mmarc_Multi-drug_resistance153	2	652	Multi-drug resistance	MDR regulator	ACRR
groupII	mmarc_Multi-drug_resistance154	2	1048	Multi-drug resistance	Mutant porin proteins	POR
groupII	mmarc_Multi-drug_resistance155	2	325	Multi-drug resistance	MDR regulator	SOXS
groupII	mmarc_Multi-drug_resistance156	2	466	Multi-drug resistance	MDR regulator	SOXS
groupII	mmarc_Multi-drug_resistance157	2	445	Multi-drug resistance	MDR regulator	MEXR
groupII	mmarc_Multi-drug_resistance158	2	1090	Multi-drug resistance	Mutant porin proteins	OMPF
groupII	mmarc_Multi-drug_resistance159	2	1128	Multi-drug resistance	Mutant porin proteins	OMP36
groupII	mmarc_Multi-drug_resistance160	2	436	Multi-drug resistance	MDR regulator	MARR
groupII	mmarc_Multi-drug_resistance161	2	583	Multi-drug resistance	MDR regulator	RAMR
groupII	mmarc_Multi-drug_resistance162	2	654	Multi-drug resistance	MDR regulator	ACRR
groupII	mmarc_Multi-drug_resistance163	2	583	Multi-drug resistance	MDR regulator	RAMR
groupII	mmarc_Multi-drug_resistance164	2	997	Multi-drug resistance	Mutant porin proteins	POR
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug10	2	1483	Mycobacterium tuberculosis-specific Drug	Ethambutol-resistant iniC	INIC
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug11	2	1252	Mycobacterium tuberculosis-specific Drug	Isoniazid-resistant kasA	KASA
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug12	2	1393	Mycobacterium tuberculosis-specific Drug	Isoniazid-resistant ndh	NDH
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug2	2	3286	Mycobacterium tuberculosis-specific Drug	Ethambutol resistant arabinosyltransferase	EMBC
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug3	2	1924	Mycobacterium tuberculosis-specific Drug	Ethambutol-resistant iniA	INIA
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug4	2	562	Mycobacterium tuberculosis-specific Drug	Pyrazinamide-resistant pncA	PNCA
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug5	2	1168	Mycobacterium tuberculosis-specific Drug	Ethambutol resistant arabinosyltransferase	EMBR
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug6	2	3286	Mycobacterium tuberculosis-specific Drug	Ethambutol resistant arabinosyltransferase	EMBA
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug7	4	3298	Mycobacterium tuberculosis-specific Drug	Rifampin-resistant embB|Ethambutol resistant arabinosyltransferase	EMBB
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug8	2	811	Mycobacterium tuberculosis-specific Drug	Isoniazid-resistant inhA	INHA
groupII	mmarc_Mycobacterium_tuberculosis-specific_Drug9	2	1471	Mycobacterium tuberculosis-specific Drug	Ethionamide-resistant monooxygenase EthA	ETHA
groupII	mmarc_Phenicol29	2	549	Phenicol	Chloramphenicol acetyltransferases	CATB
groupII	mmarc_Rifampin19	3	3538	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin20	2	3651	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin21	4	4089	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin22	2	3591	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin23	2	3627	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin24	9	4072	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin25	2	3538	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin26	2	4107	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin27	10	3553	Rifampin	Daptomycin-resistant beta-subunit of RNA polymerase RpoB|Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Rifampin28	2	4185	Rifampin	Rifampin-resistant beta-subunit of RNA polymerase RpoB	RPOB
groupII	mmarc_Sulfonamides19	5	894	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides20	2	843	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides21	7	804	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides22	2	876	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides23	2	856	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides24	2	852	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides25	2	1143	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides26	2	850	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Sulfonamides27	2	802	Sulfonamides	Sulfonamide-resistant dihydropteroate synthases	FOLP
groupII	mmarc_Tetracyclines40	2	628	Tetracyclines	Tetracycline transcriptional repressor	TETR
groupII	mmarc_Trimethoprim16	2	486	Trimethoprim	Dihydrofolate reductase	DFRC
groupII	mmarc_Trimethoprim17	4	571	Trimethoprim	Dihydrofolate reductase	DHFR
groupIII	mmarc_Aminocoumarins10_blast_augmented	17	1960	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins11_blast_augmented	11	2079	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins12_blast_augmented	44	1878	Aminocoumarins	Aminocoumarin efflux pump	NOVA
groupIII	mmarc_Aminocoumarins1_blast_augmented	157	1899	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins2_blast_augmented	3	1971	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins3_blast_augmented	33	1986	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins4_blast_augmented	6	1977	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins5_blast_augmented	3	1971	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins6_blast_augmented	5	1896	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins7_blast_augmented	21	1962	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins8_blast_augmented	11	2058	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminocoumarins9_blast_augmented	47	1971	Aminocoumarins	Aminocoumarin-resistant DNA topoisomerases	PARE
groupIII	mmarc_Aminoglycosides10_blast_augmented	3	810	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides11_blast_augmented	16	729	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT9
groupIII	mmarc_Aminoglycosides12_blast_augmented	13	551	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides13_blast_augmented	3	537	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides14_blast_augmented	5	745	Aminoglycosides	16S rRNA methyltransferases	RMTD
groupIII	mmarc_Aminoglycosides15_blast_augmented	6	531	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides16_blast_augmented	25	1001	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH7-DPRIME
groupIII	mmarc_Aminoglycosides17_blast_augmented	3	435	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides18_blast_augmented	4	537	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6-PRIME
groupIII	mmarc_Aminoglycosides19_blast_augmented	14	856	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupIII	mmarc_Aminoglycosides1_blast_augmented	3	864	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupIII	mmarc_Aminoglycosides20_blast_augmented	2	759	Aminoglycosides	16S rRNA methyltransferases	RMTH
groupIII	mmarc_Aminoglycosides21_blast_augmented	2	555	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides22_blast_augmented	52	3118	Aminoglycosides	Aminoglycoside efflux pumps	ACRD
groupIII	mmarc_Aminoglycosides23_blast_augmented	3	771	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT4-PRIME
groupIII	mmarc_Aminoglycosides24_blast_augmented	2	868	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides25_blast_augmented	3	789	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides26_blast_augmented	10	549	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides27_blast_augmented	3	795	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides28_blast_augmented	2	757	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT4-PRIME
groupIII	mmarc_Aminoglycosides29_blast_augmented	2	436	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides2_blast_augmented	101	1027	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH4
groupIII	mmarc_Aminoglycosides30_blast_augmented	5	855	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupIII	mmarc_Aminoglycosides31_blast_augmented	47	1159	Aminoglycosides	Aminoglycoside efflux pumps	ACRE
groupIII	mmarc_Aminoglycosides32_blast_augmented	2	922	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH2-DPRIME
groupIII	mmarc_Aminoglycosides33_blast_augmented	3	588	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides34_blast_augmented	7	837	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides35_blast_augmented	4	822	Aminoglycosides	16S rRNA methyltransferases	RMTE
groupIII	mmarc_Aminoglycosides36_blast_augmented	24	847	Aminoglycosides	16S rRNA methyltransferases	RMTC
groupIII	mmarc_Aminoglycosides37_blast_augmented	2	442	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides38_blast_augmented	3	921	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH2-DPRIME
groupIII	mmarc_Aminoglycosides39_blast_augmented	14	564	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupIII	mmarc_Aminoglycosides3_blast_augmented	3	921	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH2-DPRIME
groupIII	mmarc_Aminoglycosides40_blast_augmented	32	795	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides41_blast_augmented	4	865	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides42_blast_augmented	9	819	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides43_blast_augmented	3	462	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides44_blast_augmented	12	924	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6
groupIII	mmarc_Aminoglycosides45_blast_augmented	54	3106	Aminoglycosides	Aminoglycoside efflux pumps	ACRF
groupIII	mmarc_Aminoglycosides46_blast_augmented	8	462	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides47_blast_augmented	2	847	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides48_blast_augmented	4	858	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT6
groupIII	mmarc_Aminoglycosides49_blast_augmented	6	901	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides4_blast_augmented	11	813	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides50_blast_augmented	3	441	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides51_blast_augmented	3	924	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH6
groupIII	mmarc_Aminoglycosides52_blast_augmented	71	807	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides53_blast_augmented	4	774	Aminoglycosides	16S rRNA methyltransferases	ARMA
groupIII	mmarc_Aminoglycosides54_blast_augmented	3	756	Aminoglycosides	16S rRNA methyltransferases	RMTA
groupIII	mmarc_Aminoglycosides55_blast_augmented	2	759	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT4-PRIME
groupIII	mmarc_Aminoglycosides56_blast_augmented	19	478	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides57_blast_augmented	89	772	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT4-PRIME
groupIII	mmarc_Aminoglycosides58_blast_augmented	4	543	Aminoglycosides	Aminoglycoside N-acetyltransferases	SAT
groupIII	mmarc_Aminoglycosides59_blast_augmented	3	789	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides5_blast_augmented	42	786	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides60_blast_augmented	14	441	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides61_blast_augmented	44	664	Aminoglycosides	Aminoglycoside efflux regulator	ACRS
groupIII	mmarc_Aminoglycosides62_blast_augmented	3	753	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides63_blast_augmented	2	550	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides64_blast_augmented	3	660	Aminoglycosides	16S rRNA methyltransferases	NPMA
groupIII	mmarc_Aminoglycosides65_blast_augmented	2	787	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides66_blast_augmented	4	793	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT3-DPRIME
groupIII	mmarc_Aminoglycosides67_blast_augmented	3	498	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	ANT4-PRIME
groupIII	mmarc_Aminoglycosides68_blast_augmented	3	474	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides69_blast_augmented	44	528	Aminoglycosides	Aminoglycoside N-acetyltransferases	SAT
groupIII	mmarc_Aminoglycosides6_blast_augmented	100	444	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides70_blast_augmented	3	555	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides71_blast_augmented	6	472	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides72_blast_augmented	104	493	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-DPRIME
groupIII	mmarc_Aminoglycosides73_blast_augmented	3	993	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH9
groupIII	mmarc_Aminoglycosides74_blast_augmented	10	552	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides75_blast_augmented	4	549	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides76_blast_augmented	3	555	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides77_blast_augmented	95	807	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides78_blast_augmented	60	801	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides79_blast_augmented	2	817	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides7_blast_augmented	11	813	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-DPRIME
groupIII	mmarc_Aminoglycosides80_blast_augmented	4	633	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC2-PRIME
groupIII	mmarc_Aminoglycosides81_blast_augmented	5	780	Aminoglycosides	16S rRNA methyltransferases	RMTF
groupIII	mmarc_Aminoglycosides82_blast_augmented	7	822	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-DPRIME
groupIII	mmarc_Aminoglycosides83_blast_augmented	6	804	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides84_blast_augmented	2	856	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC3
groupIII	mmarc_Aminoglycosides85_blast_augmented	2	1264	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH4
groupIII	mmarc_Aminoglycosides86_blast_augmented	3	553	Aminoglycosides	Aminoglycoside N-acetyltransferases	AAC6-PRIME
groupIII	mmarc_Aminoglycosides87_blast_augmented	54	817	Aminoglycosides	Aminoglycoside O-phosphotransferases	APH3-PRIME
groupIII	mmarc_Aminoglycosides8_blast_augmented	4	795	Aminoglycosides	16S rRNA methyltransferases	RMTG
groupIII	mmarc_Aminoglycosides9_blast_augmented	5	775	Aminoglycosides	Aminoglycoside O-nucleotidyltransferases	SPD
groupIII	mmarc_Bacitracin1_blast_augmented	39	824	Bacitracin	Undecaprenyl pyrophosphate phosphatase	BACA
groupIII	mmarc_Bacitracin2_blast_augmented	3	628	Bacitracin	Bacitracin ABC transporter	BCRB
groupIII	mmarc_Bacitracin3_blast_augmented	3	613	Bacitracin	Bacitracin ABC transporter	BCRC
groupIII	mmarc_Bacitracin4_blast_augmented	6	922	Bacitracin	Bacitracin ABC transporter	BCRA
groupIII	mmarc_betalactams100_blast_augmented	34	1020	betalactams	Class A betalactamases	BLAA
groupIII	mmarc_betalactams101_blast_augmented	3	849	betalactams	Class B betalactamases	FEZ
groupIII	mmarc_betalactams102_blast_augmented	2	886	betalactams	Class B betalactamases	BJP1
groupIII	mmarc_betalactams103_blast_augmented	3	765	betalactams	Class D betalactamases	OXA
groupIII	mmarc_betalactams104_blast_augmented	8	888	betalactams	Betalactamase regulator	NMCR
groupIII	mmarc_betalactams105_blast_augmented	2	873	betalactams	Class B betalactamases	ESP
groupIII	mmarc_betalactams106_blast_augmented	3	789	betalactams	Class D betalactamases	OXA
groupIII	mmarc_betalactams107_blast_augmented	9	856	betalactams	Class A betalactamases	ACI
groupIII	mmarc_betalactams108_blast_augmented	9	1149	betalactams	Class C betalactamases	CEPS
groupIII	mmarc_betalactams109_blast_augmented	2	883	betalactams	Class B betalactamases	LRA
groupIII	mmarc_betalactams10_blast_augmented	3	885	betalactams	Class A betalactamases	
groupIII	mmarc_betalactams110_blast_augmented	3	1830	betalactams	Class B betalactamases	LRA
groupIII	mmarc_betalactams111_blast_augmented	4	828	betalactams	Class D betalactamases	OXA
groupIII	mmarc_betalactams112_blast_augmented	2	729	betalactams	Class B betalactamases	CGB
groupIII	mmarc_betalactams113_blast_augmented	2	826	betalactams	Class D betalactamases	OXA
groupIII	mmarc_betalactams114_blast_augmented	5	772	betalactams	Class B betalactamases	BCII
groupIII	mmarc_betalactams115_blast_augmented	87	1161	betalactams	Penicillin binding protein	AMPH
groupIII	mmarc_betalactams116_blast_augmented	6	876	betalactams	Class B betalactamases	CAU
groupIII	mmarc_betalactams117_blast_augmented	3	888	betalactams	Class A betalactamases	PENA
groupIII	mmarc_betalactams118_blast_augmented	3	858	betalactams	Class D betalactamases	OXA
groupIII	mmarc_betalactams11_blast_augmented	45	878	betalactams	Class C betalactamases	CMY
groupIII	mmarc_betalactams12_blast_augmented	2	748	betalactams	Class B betalactamases	TUS
groupIII	mmarc_betalactams13_blast_augmented	3	729	betalactams	Class B betalactamases	IND
groupIII	mmarc_betalactams14_blast_augmented	3	915	betalactams	Class A betalactamases	CTX
groupIII	mmarc_betalactams15_blast_augmented	2	982	betalactams	Class B betalactamases	LRA
groupIII	mmarc_betalactams16_blast_augmented	3	906	betalactams	Class B betalactamases	LRA
groupIII	mmarc_betalactams17_blast_augmented	2	742	betalactams	Class B betalactamases	MUS
groupIII	mmarc_betalactams18_blast_augmented	2	861	betalactams	Class B betalactamases	PEDO
groupIII	mmarc_betalactams19_blast_augmented	2	915	betalactams	Class D betalactamases	R39
groupIII	mmarc_betalactams1_blast_augmented	57	2468	betalactams	Penicillin binding protein	PBP1B
groupIII	mmarc_betalactams20_blast_augmented	3	885	betalactams	Class A betalactamases	BIC
groupIII	mmarc_betalactams21_blast_augmented	3	756	betalactams	Class B betalactamases	DIM
